"STUDY_ID","REVIEWERS","INCLUDE","AUTHORS","YEAR","TITLE","JOURNAL","VOLUME","LPAGES","UPAGES","DOI","ABSTRACT"
"821","laporta","NO","Abras, A and Munoz, C and Ballart, C and Berenguer, P and Llovet, T and Herrero, M and Tebar, S and Pinazo, MJ and Posada, E and Marti, C and Fumado, V and Bosch, J and Coll, O and Juncosa, T and Ginovart, G and Armengol, J and Gascon, J and Portus, M and Gallego, M","2017","Towards a New Strategy for Diagnosis of Congenital Trypanosoma cruzi Infection","JOURNAL OF CLINICAL MICROBIOLOGY","55","1396","1407","10.1128/JCM.02248-16","The immigration of Latin American women of childbearing age has spread the congenital transmission of Chagas disease to areas of nonendemicity, and the disease is now a worldwide problem. Some European health authorities have implemented screening programs to prevent vertical transmission, but the lack of a uniform protocol calls for the urgent establishment of a new strategy common to all laboratories. Our aims were to (i) analyze the trend of passive IgG antibodies in the newborn by means of five serological tests for the diagnosis and follow-up of congenital Trypanosoma cruzi infection, (ii) assess the utility of these techniques for diagnosing a congenital transmission, and (iii) propose a strategy for a prompt, efficient, and cost-effective diagnosis of T. cruzi infection. In noninfected newborns, a continuous decreasing trend of passive IgG antibodies was observed, but none of the serological assays seroreverted in any the infants before 12 months. From 12 months onwards, serological tests achieved negative results in all the samples analyzed, with the exception of the highly sensitive chemiluminescent microparticle immunoassay (CMIA). In contrast, in congenitally infected infants, the antibody decline was detected only after treatment initiation. In order to improve the diagnosis of congenital T. cruzi infection, we propose a new strategy involving fewer tests that allows significant cost savings. The protocol could start 1 month after birth with a parasitological test and/or a PCR. If negative, a serological test would be carried out at 9 months, which if positive, would be followed by another at around 12 months for confirmation."
"822","laporta","NO","Buekens, P and Cafferata, ML and Alger, J and Althabe, F and Belizan, JM and Bustamante, N and Carlier, Y and Ciganda, A and del Cid, JH and Dumonteil, E and Gamboa-Leon, R and Garcia, JA and Gibbons, L and Graiff, O and Maldonado, JG and Herrera, C and Howard, E and Lara, LS and Lopez, B and Matute, ML and Ramirez-Sierra, MJ and Robles, MC and Sosa-Estani, S and Truyens, C and Valladares, C and Wesson, DM and Zuniga, C","2018","Congenital Transmission of Trypanosoma cruzi in Argentina, Honduras, and Mexico: An Observational Prospective Study","AMERICAN JOURNAL OF TROPICAL MEDICINE AND HYGIENE","98","478","485","10.4269/ajtmh.17-0516","Compared with South America, there is a lack of epidemiologic studies about the risk of congenital transmission of Trypanosoma cruzi in Central America and Mexico. It has been suggested that T. cruzi genotypes might differ by region and that congenital transmission might vary according to the parasite's genotype. Our objective was to compare T. cruzi congenital transmission rates in three countries. We performed an observational prospective study in 2011-2014 enrolling women at delivery in one hospital in Argentina, two hospitals in Honduras, and two hospitals in Mexico. Congenital T. cruzi infection was defined as the presence of one or more of the following criteria: presence of parasites in cord blood (direct parasitological microscopic examination) with positive polymerase chain reaction (PCR) in cord blood, presence of parasites in infant's blood at 4-8 weeks (direct parasitological microscopic examination), and persistence of T. cruzi-specific antibodies at 10 months, as measured by at least two tests. Among 28,145 enrolled women, 347 had at least one antibody rapid test positive in cord blood and a positive enzyme-linked immunosorbent assay in maternal blood. PCR in maternal blood was positive in 73.2% of the cases, and genotyping identified a majority of non-TcI in the three countries. We found no (0.0%; 95% confidence interval [CI]: 0.0, 2.0) confirmed congenital case in Honduras. Congenital transmission was 6.6% (95% CI: 3.1, 12.2) in Argentina and 6.3% (95% CI: 0.8, 20.8) in Mexico. Trypanosoma cruzi non-TcI predominated and risks of congenital transmission were similar in Argentina and Mexico."
"823","laporta","NO","Denegri, M and Oyarce, A and Larraguibel, P and Ramirez, I and Rivas, E and Arellano, G and Baez, A and Maulen, NP","2020","Screening and congenital transmission of Chagas Disease in the user population of the Dr. Felix Bulnes Cerda Hospital and Primary Health Care Services of the Metropolitan Health Service West of Santiago, Chile","REVISTA CHILENA DE INFECTOLOGIA","37","129","137",NA,"Background: In 2016, the Hospital Dr. Felix Bulnes Cerda (HDFBC) implemented the mandatory screening of anti Ttypanosorna cruzi antibodies in pregnant women, thus complying with national regulations to detect new Chagas disease cases (CHD) in mother and child, whose early detection mediates timely pharmacological treatment. This, because the congenital transmission continues the main active transmission mechanisms of T. cruzi and a major public health problem for the country. Aim: To present the epidemiological information generated after the implementation of the ECH screening in the SSFCC HFBC, two years after its operation began. Methods: Screening test: inmunequimioluminiscence (IQLU), certification by IFI, ELISA and/or western blot. Follow up of newborn infants with PCR, IFI, ELISA and IQLU. Results: Between April 2016 and july 2018, 14.012 subject's samples were examined of which 62 resulted reactive (0.53% seropositivity) in the total studied population where 28 patients resulted positive for CHD, which corresponds to a 0.2% prevalence. Of the total population, 11.780 were pregnant. women, of these 41 were reactive and 10 were confirmed with CHD thus showing a prevalence of 0.085%. The other 18 positive cases of non-pregnant patients corresponded a prevalence of 0.81%. Also, 10 newborn and infant children of mothers with CHD were followed up. In all, congenital transmission (0%) was ruled out. Nifurtimox treatment of the mothers were completed in 30% of them. It is concluded that the implementation of the program in the HDFBC fulfills the objectives of screening, detection and diagnosis of CHD, so as the timely follow-up and phannacologic treatment of the newborn. The 0.085% prevalence of CHD in pregnant women as the 0.20% in total population are significantly lower (p-valor < 0.01) than the 0.7% reported in 2016 for the Metropolitan Region (MR), a fact that we suggest is a consequence of the national program implementation. Likewise, the 0% transpLacental transmission is accorded to the rate of 0.91 x 10.000 live births reported in 2017 for the MR. Based on the learning acquired during the development of the research, recommendations are given to contribute to the operation of the program."
"824","laporta","NO","Montes-Rincon, LM and Galaviz-Silva, L and Molina-Garza, ZJ","2018","Anti-Trypanosoma cruzi antibodies in Latin American migrants in transit through the Mexico-USA border","BIOMEDICA","38","54","60","10.7705/biomedica.v38i0.3526","Introduction: In recent years, American trypanosomiasis has become an emergent public health problem in countries receiving migrant populations such as Mexico, USA, Canada or those in Europe. Objective: To analyze the prevalence of anti-Trypanosoma cruzi antibodies in Latin American migrants on their way to USA and Canada by means of serological techniques. Material and methods: ELISA and IHA were performed to detect anti-T. cruzi antibodies. Also, each participant filled out a socioeconomic questionnaire to determine the associated factors with seropositive cases, which could facilitate the transmission in the migrants' country of origin. Results: Total seroprevalence among the studied population was 20% (24/120). The highest prevalence was found in migrants from Guatemala with 37.5% (6/16), followed by Honduras (22.6%; 12/53), El Salvador (16%; 4/25), and Mexico (8.7%, 3/23). From the total 120 surveyed migrants, 105 (87.5%) recognized the vector of Chagas' disease, and 62 (59%) assured having been bitten by it. Highly significant statistical associations were found between infection and the construction materials for walls and the presence of pets (dogs) inside houses (p=0.01), as well as with the building materials for backyards, inadequate basic services, and animal breeding inside corrals built around dwellings (p=0.05). Conclusion: Non-endemic countries receiving migrants from endemic areas should enhance or develop better health policies to prevent transfusion-transmitted Chagas or congenital parasite transmission."
"825","laporta","NO","Liempi, A and Castillo, C and Carrillo, I and Munoz, L and Droguett, D and Galanti, N and Maya, JD and Kemmerling, U","2016","A local innate immune response against Trypanosoma cruzi in the human placenta: The epithelial turnover of the trophoblast","MICROBIAL PATHOGENESIS","99","123","129","10.1016/j.micpath.2016.08.022","Congenital Chagas disease, caused by Trypanosoma cruzi, is partially responsible for the progressive globalization of Chagas disease despite of its low transmission rate. The probability of congenital transmission depends on complex interactions between the parasite, the maternal and fetus/newborn immune responses and placental factors, being the latter the least studied one. During transplacental transmission, the parasite must cross the placental barrier where the trophoblast, a continuous renewing epithelium, is the first tissue to have contact with the parasite. Importantly, the epithelial turnover is considered part of the innate immune system since pathogens, prior to cell invasion, must attach to the surface of cells. The trophoblast turnover involves cellular processes such as proliferation, differentiation and apoptotic cell death, all of them are induced by the parasite. In the present review, we analyze the current evidence about the trophoblast epithelial turnover as a local placental innate immune response. (C) 2016 Elsevier Ltd. All rights reserved."
"826","laporta","NO","Egui, A and Lasso, P and Perez-Anton, E and Thomas, MC and Lopez, MC","2019","Dynamics of T Cells Repertoire During Trypanosoma cruzi Infection and its Post-Treatment Modulation","CURRENT MEDICINAL CHEMISTRY","26","6519","6543","10.2174/0929867325666181101111819","Chagas disease courses with different clinical phases and has a variable clinical presentation and progression. The acute infection phase mostly exhibits a non-specific symptomatology. in the absence of treatment, the acute phase is followed by a chronic phase, which is initially asymptomatic. This chronic asymptomatic phase of the disease is characterized by a fragile balance between the host's immune response and the parasite replication. The loss of this balance is crucial for the progression of the sickness. The virulence and tropism of the T. cruzi infecting strain together to the inflammation processes in the cardiac tissue are the main factors for the establishment and severity of the cardiomyopathy. The efficacy of treatment in chronic Chagas disease patients is controversial. However, several studies carried out in chronic patients demonstrated that antiparasitic treatment reduces parasite load in the bloodstream and leads to an improvement in the immune response against the Trypanosome cruzi parasite. The present review is mainly focused on the cellular patterns associated to the clinical status and the evolution of the disease in chronic patients, as well as the effectiveness of the treatment related to T. cruzi infection control. Therefore, an emphasis is placed on the dynamics of specific-antigens T cell subpopulations, their memory and activation phenotypes, their functionality and their contribution to pathogenesis or disease control, as well as their association with risk of congenital transmission of the parasite."
"827","laporta","NO","Imaz-Iglesia, I and Garcia-San Miguel, L and Ayala-Morillas, LE and Garcia-Perez, L and Gonzalez-Enriquez, J and Blasco-Hernandez, T and Martin-Agueda, MB and Sarria-Santamera, A","2015","Economic evaluation of Chagas disease screening in Spain","ACTA TROPICA","148","77","88","10.1016/j.actatropica.2015.04.014","Although Spain is the European country with the highest Chagas disease burden, the country does not have a national control program of the disease. The purpose of this study is to evaluate the efficiency of several strategies for Chagas disease screening among Latin American residents living in Spain. The following screening strategies were evaluated: (1) non-screening; (2) screening of the Latin American pregnant women and their newborns; (3) screening also the relatives of the positive pregnant women; (4) screening also the relatives of the negative pregnant women. A cost-utility analysis was carried out to compare the four strategies from two perspectives, the societal and the Spanish National Health System (SNHS). A decision tree representing the clinical evolution of Chagas disease throughout patient's life was built. The strategies were compared through the incremental cost-utility ratio, using euros as cost measurement and quality-adjusted life years as utility measurement. A sensitivity analysis was performed to test the model parameters and their influence on the results. We found the ""Non-screening"" as the most expensive and less effective of the evaluated strategies, from both the societal and the SNHS perspectives. Among the screening evaluated strategies the most efficient was, from both perspectives, to extent the antenatal screening of the Latin American pregnant women and their newborns up to the relatives of the positive women. Several parameters influenced significantly on the sensitivity analyses, particularly the chronic treatment efficacy or the prevalence of Chagas disease. In conclusion, for the general Latin American immigrants living in Spain the most efficient would be to screen the Latin American mothers, their newborns and the close relatives of the mothers with a positive serology. However for higher prevalence immigrant population the most efficient intervention would be to extend the program to the close relatives of the negative mothers. (C) 2015 Elsevier B.V. All rights reserved."
"828","laporta","NO","Danesi, E and Fabbro, DL and Segura, EL and Sosa-Estani, S","2020","Higher congenital transmission rate of Trypanosoma cruzi associated with family history of congenital transmission","REVISTA DA SOCIEDADE BRASILEIRA DE MEDICINA TROPICAL","53",NA,NA,"10.1590/0037-8682-0560-2019","Introduction: Congenital transmission (CT) of Trypanosoma cruzi has led to globalization of Chagas disease and its growing relevance as a public health problem. Although the occurrence of CT has been associated with several factors, its mechanisms are still unknown. This study aimed to analyze the geographical and familiar variables of mothers and their association with CT of Chagas disease in a population living in non-endemic areas of Argentina for the last decades. Methods: We developed a retrospective cohort study in a sample of 2120 mother-child pairs who attended three reference centers in the cities of Buenos Aires, Santa Fe, and Salta between 2002 and 2015. Results: The highest CT rates were observed in children born to Argentinean mothers (10.7%) and in children born to mothers from Buenos Aires (11.7%). Considering the areas of origin of the mothers, those from areas of null-low risk for vector-borne infection had higher CT rates than those from areas of medium-high risk (11.1% vs 8.2%). We also observed a significant intra-familiar ""cluster effect,"" with CT rates of 35.9% in children with an infected sibling, compared to 8.2% in children without infected siblings (RR=4.4 95% CI 2.3-8.4). Conclusions: The associations observed suggest a higher CT rate in children born to mothers who acquired the infection congenitally, with familiar antecedents, and from areas without the presence of vectors. These observations are considered new epidemiological evidence about Chagas disease in a contemporary urban population, which may contribute to the study of CT and may also be an interesting finding for healthcare professionals."
"829","laporta","NO","Volta, BJ and Bustos, PL and Cardoni, RL and De Rissio, AM and Laucella, SA and Bua, J","2016","Serum Cytokines as Biomarkers of Early Trypanosoma cruzi infection by Congenital Exposure","JOURNAL OF IMMUNOLOGY","196","4596","4602","10.4049/jimmunol.1502504","Trypanosoma cruzi, the causing agent of Chagas disease, leads to an activation of the immune system in congenitally infected infants. In this study, we measured a set of cytokines/chemokines and the levels of parasitemia by quantitative PCR in the circulation of neonates born to T. cruzi-infected mothers to evaluate the predictive value of these mediators as biomarkers of congenital transmission. We conducted a retrospective cohort study of 35 infants with congenital T. cruzi infection, of which 15 and 10 infants had been diagnosed by detection of parasites by microscopy in the first and sixth month after delivery, respectively, and the remaining 10 had been diagnosed by the presence of T. cruzi-specific Abs at 10-12 mo old. Uninfected infants born to either T. cruzi-infected or uninfected mothers were also evaluated as controls. The plasma levels of IL-17A, MCP-1, and monokine induced by IFN-gamma were increased in infants congenitally infected with T. cruzi, even before they developed detectable parasitemia or seroconversion. Infants diagnosed between 6 and 12 mo old also showed increased levels of IL-6 and IL-17F at 1 mo of age. Conversely, infants who did not develop congenital T. cruzi infection had higher levels of IFN-gamma than infected infants born to uninfected mothers. Monokine induced by IFN-gamma, MCP-1, and IFN-gamma production induced in T. cruzi-infected infants correlated with parasitemia, whereas the plasma levels of IL-17A, IL-17F, and IL-6 were less parasite load dependent. These findings support the existence of a distinct profile of cytokines and chemokines in the circulation of infants born to T. cruzi-infected mothers, which might predict congenital infection."
"830","laporta","NO","Mongeau-Martin, G and Ndao, M and Libman, M and Delage, G and Ward, BJ","2015","A family cluster of Chagas disease detected through selective screening of blood donors: A case report and brief review","CANADIAN JOURNAL OF INFECTIOUS DISEASES & MEDICAL MICROBIOLOGY","26","157","161","10.1155/2015/628981","Chagas disease (CD) is a protozoan infection caused by Trypanosoma cruzi, which is transmitted by triatomine insect vectors in parts of Latin America. In a nonendemic country, such as Canada, spread can still occur via vertical transmission, and infected blood or organ donations. The Canadian Blood Services and Hema-Quebec have both implemented selective screening of blood donors for CD based on risk factors. In 2011, Hema-Quebec identified two seropositive 'at-risk' Chilean siblings who had donated blood in Montreal, Quebec. They were referred to the JD MacLean Centre for Tropical Diseases (Montreal, Quebec) for confirmatory testing (T cruzi excreted-secreted antigen ELISA, polymerase chain reaction and/or radioimmunoprecipitation assay) and follow-up. Screening of the rest of the family revealed two other seropositive family members (the mother and sister). While their geographical history in Chile suggests vectorial transmission, this family cluster of CD raises the possibility of vertical transmission. Congenital infection should always be considered among CD-positive mothers and pregnant women. With blood donor screening, Canadian physicians will increasingly see patients with CD and should know how to manage them appropriately. In addition to the case presentation, the authors review the transmission, screening and clinical management of CD in a nonendemic context."
"831","laporta","NO","Silberstein, E and Kim, KS and Acosta, D and Debrabant, A","2021","Human Placental Trophoblasts Are Resistant to Trypanosoma cruzi Infection in a 3D-Culture Model of the Maternal-Fetal Interface","FRONTIERS IN MICROBIOLOGY","12",NA,NA,"10.3389/fmicb.2021.626370","Trypanosoma cruzi (T. cruzi), the etiological agent of Chagas Disease (CD), is transmitted to humans by infected kissing bugs, blood transfusion, organ transplantation, and from mother-to-child. Congenital transmission is now considered an important route of CD spread in non-endemic countries where no routine testing of pregnant women for the disease is implemented. The main cellular mechanisms that lead to fetal infection by T. cruzi, despite the presence of a placental barrier, remain unclear. Mother-to-child transmission most likely occurs when bloodstream trypomastigotes reach the placental intervillous space and interact with the large cellular surface provided by the syncytioptrophoblasts. These highly specialized cells not only function as a physical obstacle between mother and fetus, but also modulate immune responses against pathogen infections. To overcome the limitations associated with the use of human fetal tissues, we employed a three-dimensional (3D) cell culture model to recreate the human placenta environment. In this system, the trophoblast-derived JEG-3 cell line is co-cultured with human brain microvascular endothelial cells attached to microcarrier beads in a rotating bioreactor. Here, we report that 3D culture of JEG-3/HBMEC spheroids promote JEG-3 cells differentiation revealed by the formation of syncytia and production of beta human chorionic gonadotropin and human placental lactogen (hPL). Under these growth conditions, we demonstrate that 3D-grown JEG-3 cells have reduced susceptibility to T. cruzi infection compared to JEG-3 cells grown in conventional tissue culture flasks. We also show that 3D-cultured JEG-3 cells release paracrine factors in the supernatant that prevent T. cruzi infection of non-trophoblastic cell lines. Our in vitro model of T. cruzi vertical transmission may help better understand the molecular processes by which parasites bypass the human placental barrier and could be exploited to evaluate therapeutics to reduce congenital CD."
"832","laporta","NO","Abras, A and Gallego, M and Munoz, C and Juiz, NA and Ramirez, JC and Cura, CI and Tebar, S and Fernandez-Arevalo, A and Pinazo, MJ and de la Torre, L and Posada, E and Navarro, F and Espinal, P and Ballart, C and Portus, M and Gascon, J and Schijman, AG","2017","Identification of Trypanosoma cruzi Discrete Typing Units (DTUs) in Latin-American migrants in Barcelona (Spain)","PARASITOLOGY INTERNATIONAL","66","83","88","10.1016/j.parint.2016.12.003","Trypanosoma cruzi, the causative agent of Chagas disease, is divided into six Discrete Typing Units (DTUs): TcI-TcVI. We aimed to identify T. cruzi DTUs in Latin-American migrants in the Barcelona area (Spain) and to assess different molecular typing approaches for the characterization of T. cruzi genotypes. Seventy-five peripheral blood samples were analyzed by two real-time PCR methods (qPCR) based on satellite DNA (SatDNA) and kinetoplastid DNA (kDNA). The 20 samples testing positive in both methods, all belonging to Bolivian individuals, were submitted to DTU characterization using two PCR-based flowcharts: multiplex qPCR using TaqMan probes (MTq-PCR), and conventional PCR. These samples were also studied by sequencing the SatDNA and classified as type I (TcI/III), type II (TclI/IV) and type I/II hybrid (TcV/VI). Ten out of the 20 samples gave positive results in the flowcharts: TcV (5 samples), TcII/V/VI (3) and mixed infections by TcV plus TclI (1) and TcV plus Tcll/VI (1). By SatDNA sequencing, we classified the 20 samples, 19 as type I/II and one as type I. The most frequent DTU identified by both flowcharts, and suggested by SatDNA sequencing in the remaining samples with low parasitic loads, TcV, is common in Bolivia and predominant in peripheral blood. The mixed infection by TcV-TclI was detected for the first time simultaneously in Bolivian migrants. PCR-based flowcharts are very useful to characterize DTUs during acute infection. SatDNA sequence analysis cannot discriminate T. cruzi populations at the level of a single DTU but it enabled us to increase the number of characterized cases in chronically infected patients. (C) 2016 Elsevier Ireland Ltd. All rights reserved."
"833","laporta","NO","Francisco-Gonzalez, L and Rubio-San-Simon, A and Gonzalez-Tome, MI and Manzanares, A and Epalza, C and Santos, MD and Gastanaga, T and Merino, P and Ramos-Amador, JT","2019","Congenital transmission of Chagas disease in a non-endemic area, is an early diagnosis possible?","PLOS ONE","14",NA,NA,"10.1371/journal.pone.0218491","Background Chagas disease (CD) is an emergent disease in Europe, due to immigration. The aims of this study are to describe the epidemiological characteristics of a cohort of Chagas infected pregnant women in Spain, to assess the vertical transmission (VT) rate and evaluate the usefulness of the PCR in the diagnosis of congenital infection in the first months of life. Methods A descriptive, retrospective study including Chagas seropositive pregnant women who were attended at three tertiary hospitals in Madrid, from January 2012 to September 2016. Infants were examined by PCR at birth and 1 month later and serologically studied at 9 months or later. Children were considered infected when the parasite was detected by PCR at any age or when serology remained positive without decline over the age of 9 months. Results We included 122 seropositive-infected pregnant women, 81% were from Bolivia and only 8.2% had been treated before. 125 newborns were studied and finally 109 were included (12.8% lost the follow-up before performing the last serology). The VT rate was 2.75% (95% CI: 0,57-8,8%). Infected infants had positive PCR at birth and 1 month later. All of them were treated successfully with benznidazole (PCR and serology became negative later on). All non-infected children presented negative PCR. The mean age at which uninfected patients had negative serology was 10.5 months. Conclusions The VT rate is in keeping with literature and confirms the need to carry out a screening in pregnant women coming from endemic areas. PCR seems to be a useful tool to provide early diagnosis of congenital"
"834","laporta","NO","Valdez, FC and Marin, C and Abuxapqui, JF and Ortegon, JE and Canas, R and Moreno, MS","2016","Diagnosis of Congenital Chagas Disease Using an Iron Superoxide Dismutase Excreted as Antigen, in Mothers and Their Children During the First Year of Life","PEDIATRIC INFECTIOUS DISEASE JOURNAL","35","739","743","10.1097/INF.0000000000001174","Background: Chagas disease caused by Trypanosoma cruzi is endemic in Latin America. Human infection is mainly spread by Triatominae insects. Other forms of transmission are congenital, blood transfusion and organ transplantation. Methods: Anti-T. cruzi antibodies were determined by enzyme-linked immunosorbent assay (ELISA) and Western blot (WB) in 155 serum samples from mothers and their babies. Indirect immunofluorescence (IFA) and a commercial test were used to validate efficacy of a specific ELISA-iron-excreted superoxide dismutase assay. Sera from babies were collected at 6 and 12 months, whereas maternal samples were obtained after delivery. Calostrum and umbilical cord samples were simultaneously obtained. Results: Anti-T. cruzi antibodies were detected in 8 (5.16%) mothers by ELISA-WB, in 7 (4.51%) using IFA and in 1 (0.64%) by a commercial kit. Nine (5.80%) 6-month-old children were positive by ELISA-WB and 7 (4.51%) by IFA; negative results were obtained when the commercial kit was used. At 12 month of age, 15 (9.67%) children were positive by ELISA-WB, 13 (8.38%) by IFA and 1 (0.64%) by the commercial test. Antibodies were detected in 4 mothers whose children were serologically negative. Four other mothers and their children were positive, but only one of them had detected antibodies in umbilical cord up to 12 months, thus assuming vertical transmission. Conclusions: The use of iron-excreted superoxide dismutase as antigen in serologic tests for detection of T. cruzi yielded promising results as diagnostic procedure."
"835","laporta","NO","Juiz, N.A. and Cayo, N.M. and Burgos, M. and Salvo, M.E. and Nasser, J.R. and Búa, J. and Longhi, S.A. and Schijman, A.G.","2016","Human Polymorphisms in Placentally Expressed Genes and Their Association With Susceptibility to Congenital Trypanosoma cruzi Infection","JOURNAL OF INFECTIOUS DISEASES","213","1299","1306","10.1093/infdis/jiv561","Background. It is currently unclear why only a proportion of children born to Trypanosoma cruzi-infected mothers acquire the infection. We have examined the association of 11 single-nucleotide polymorphisms (SNPs) located in genes coding for placental expression enzymes as genetic markers of susceptibility to congenital T. Cruzi infection (hereafter, ""congenital infection""): rs2014683 and rs1048988 in ALPP; rs11244787 and rs1871054 in ADAM12; rs243866, rs243865, rs17859821, rs243864, and rs2285053 in MMP2; and rs3918242 and rs2234681 in MMP9. Methods. Two groups of children born to mothers seropositive for T. Cruzi were compared: 101 had congenital infection, and 116 were uninfected. Novel high-resolution melting and capillary electrophoresis genotyping techniques were designed and used. Results. Logistic regression analysis showed that mutations in rs11244787 and rs1871054 (in ADAM12) and rs243866, rs17859821, and rs2285053 (in MMP2) were associated with susceptibility to congenital infection. Multifactor dimensionality reduction revealed that genotyping results for rs11244787, rs1871054, rs243866, rs17859821 and rs243864 sites would be a good predictor of congenital infection. Conclusions. Our results suggest an important role of human polymorphisms in proteins involved in extracellular matrix remodeling and the immune response during congenital infection. To our knowledge, this is the first study demonstrating the association between mutations in placentally expressed genes and susceptibility to congenital infection. © 2015 The Author 2015. Published by Oxford University Press for the Infectious Diseases Society of America. All rights reserved."
"836","laporta","NO","Ramos, JM and Leon, R and Andreu, M and de las Parras, ER and Rodriguez-Diaz, JC and Esteban, A and Saugar, JM and Torrus, D","2015","Serological study of Trypanosoma cruzi, Strongyloides stercoralis, HIV, human T cell lymphotropic virus (HTLV) and syphilis infections in asymptomatic Latin-American immigrants in Spain","TRANSACTIONS OF THE ROYAL SOCIETY OF TROPICAL MEDICINE AND HYGIENE","109","447","453","10.1093/trstmh/trv043","Objective: We aimed to perform a serological screening for T. cruzi, Strongyloides stercoralis, HIV, human T cell lymphotropic virus (HTLV) and syphilis in Latin American immigrants admitted to hospital in Spain. Methods: We have carried out a cross-sectional study of Latin American immigrants admitted to the Hospital General Universitario Alicante (Spain) from June 2012 to May 2014, where screening of Chagas disease, strongyloidiasis, HTLV, HIV and syphilis was performed by serology. Results: A total 180 patients were included in the study. Patients' median age was 38 years old, 123 (68.3%; 123/180) were female and 57 (31.7%; 57/180) male. Five of the 180 (2.5%) patients were positive for Chagas disease; associated with knowledge about Chagas disease (p=0.005), previous contact with patients with Chagas disease (p=0.04) and being Bolivian (p<0.001). Forty-two of the 157 (26.8%) patients were positive for Strongyloides serology; associated positively with being male (p<0.001), eosinophilia (p=0.001), hyper-IgE (p<0.001) and being Ecuadorian (p=0.001), and negatively associated with being Colombian (p=0.03). Positive serology of latent syphilis was found in 1.8% (3/171) of patients. Serology of HTLV was negative in all cases. No new cases of HIV infection were diagnosed. Conclusions: We propose that Latin American immigrant patients admitted to hospital in Spain be screened for strongyloidiasis, Chagas disease and syphilis by serology."
"837","laporta","NO","Garcia-Bermejo, I and de Ory-Manchon, F","2015","Serological diagnosis of congenital infections and algorithms to improve diagnostic efficacy","ENFERMEDADES INFECCIOSAS Y MICROBIOLOGIA CLINICA","33","20","26","10.1016/S0213-005X(15)30011-2","Congenital infection is those transmitted by the mother to the fetus before delivery. It can occur transplacentally or by direct contact with the pathogen during birth or in the immediate postnatal period. Congenital infection can be due to viruses (rubella, cytomegalovirus, herpes simplex, varicella-zoster, hepatitis B and C virus, human inunodeficiencia, erythrovirus B19) as bacteria (Treponema pallidum) and parasites (Toxoplasma gondii and Trypanosoma cruzi). Serological diagnosis of congenital infection is based on both the knowledge of infectious serology in the mother, including the systematic serological screening and diagnostic aspects of the determination of IgM and confirmatory methods, IgG avidity tests, establishment of antibody profiles, and in the diagnosis the neonate. Serological diagnosis of congenital infection in the newborn is mainly based on the detection of specific IgM usually by immunoenzymatic assays or immunochemiluminescence techniques. In some instances it is important to perform the serological follow up of the newborn to confirm the congenital infection. (C) 2015 Elsevier Espana, S.L.U. All rights reserved."
"838","laporta","NO","Velasco, M and Gimeno-Feliu, LA and Molina, I and Salas-Coronas, J and Sola, I and Monge-Maillo, B and Torrus-Tendero, D and Cayla, J and de Guzman, EN and Arellano, JLP and Perez-Molina, JA","2020","Screening for Trypanosoma cruzi infection in immigrants and refugees: Systematic review and recommendations from the Spanish Society of Infectious Diseases and Clinical Microbiology","EUROSURVEILLANCE","25","11","23","10.2807/1560-7917.ES.2020.25.8.1900393","Background: Chagas disease has spread beyond its original borders on the American continent with migration. It can be transmitted from mother to child, through organ transplantation and transfusion of blood and blood products. It is necessary to determine when to screen for this infection. Aim: Our objective was to evaluate the appropriateness of screening for Trypanosoma cruzi infection in Latin American migrants and their descendants. Methods: We reviewed the literature using rigorous criteria. The quality of evidence was ranked according to the GRADE classification. An evidence to decision framework was adopted to provide information on the most relevant aspects necessary to formulate recommendations. Results: The 33 studies evaluated revealed a prevalence of T. cruzi infection among Latin American migrants in Europe of 6.08% (95% confidence interval (CI): 3.24-9.69; 28 studies). Vertical transmission occurred in three of 100 live births (95% CI: 1-6; 13 studies). The prevalence of cardiovascular disease was 19% (95% CI: 13-27; nine studies), including only 1% severe cardiac events (95% CI: 0-2; 11 studies). The overall quality of evidence was low because of risk of bias in the studies and considerable heterogeneity of the evaluated populations. The recommendations took into account economic studies on the value of screening strategies and studies on acceptability of screening and knowledge of the disease in the affected population. Conclusions: We identified five situations in which screening for T. cruzi infection is indicated. We recommend screening persons from endemic areas and children of mothers from these areas."
"839","laporta","NO","Ramos-Rincon, JM and Ortiz-Martinez, S and Vasquez-Chasnamote, ME and Gamboa-Paredes, ON and Pinedo-Cancino, VV and Ramal-Asayag, C and Gorgolas-Hernandez-Mora, M and Casapia-Morales, M","2020","Chagas Disease in Pregnant Women in the Peruvian Amazon Basin. Cross-Sectional Study","FRONTIERS IN VETERINARY SCIENCE","7",NA,NA,"10.3389/fvets.2020.00556","Aims:To assess the prevalence of Chagas disease in pregnant women in Iquitos City, Peru. Material and Methods:Cross-sectional survey in 300 pregnant women in Iquitos (Peru) from 1 May 2019 to 15 June 2019. Women were tested using an ELISA serology test. Results:Serology was positive in one case (prevalence: 0.33%; 95% confidence interval: 7.1-13.9%), of a 25-year-old woman who lived in a wooden house with a leaf roof in a periurban area of Iquitos. She was familiar with kissing bugs and had chronic, asymptomatic Chagas disease. Conclusion:The prevalence of Chagas disease is low in the urban and peri-urban area of the city of Iquitos."
